2017-08-08 00:11:23, 【新品】贵州茅台酒第六届酒博会纪念酒53度500ml,1578,贵州茅台酒,1599.00,154945,1503,0
2017-08-08 00:11:23, 汉酱酒 51度375ml,792,汉酱酒,368.00,44287,1570,16瓶
2017-08-08 00:11:23, 赖茅酒（传承）53度500ml,1262,赖茅酒,399.00,44046,1303,75
2017-08-08 00:11:23, 茅台王子酒 53度500ml（6瓶整箱购买）,1066,茅台王子酒,1077.00,441138,1052,0箱
2017-08-08 00:11:23, 汉酱酒 51度125ml,717,汉酱酒,129.00,55014,1612,11瓶
2017-08-08 00:11:23, 贵州茅台酒新飞天茅台酒53度500ml茅台商城专享版【2014年生产】茅台官方商城正品直供,1080,贵州茅台酒,1799.00,306765,3514,0瓶
2017-08-08 00:11:23, 贵州茅台酒(纪念中国人民抗日战争暨世界反法西斯战争胜利70周年)53度500ml,1338,贵州茅台酒,1999.00,196067,2344,0瓶
2017-08-08 00:11:23, 贵州茅台酒 53度50mLx5（白色条装）,1339,贵州茅台酒,729.00,136510,1179,0套
2017-08-08 00:11:23, 汉酱酒 51度500ml（6瓶整箱购买）,1045,汉酱酒,2274.00,65527,1601,0箱
2017-08-08 00:11:23, 汉酱酒 51度125ml*4,796,汉酱酒,468.00,56717,1604,38件
2017-08-08 00:11:23, 仁酒 53度500ml（6瓶整箱购买）,1046,仁酒,1704.00,77998,1459,0箱
2017-08-08 00:11:23, 仁酒 53度125ml*4,797,仁酒,388.00,42299,1551,25盒
2017-08-08 00:11:23, 贵州茅台酒 飞天茅台酒53度375ml茅台官方商城正品直供,2,贵州茅台酒,999.00,126473,5463,0瓶
2017-08-08 00:11:23, 茅台迎宾酒(嘉宾级)53度500ml,462,茅台迎宾酒,168.00,36611,246,114瓶
2017-08-08 00:11:23, 茅台酒 新飞天53度500ml(2005年),367,贵州茅台酒,5899.00,47671,1721,0瓶
2017-08-08 00:11:23, 茅台酒 五星53度500ml(2003年),292,贵州茅台酒,6599.00,63314,1612,0瓶
2017-08-08 00:11:23, 茅台酒 飞天53度500ml(2003年),296,贵州茅台酒,6599.00,42616,1572,0瓶
2017-08-08 00:11:23, 茅台王子酒 酱门经典 53度500ml（6瓶整箱购买）,1065,茅台王子酒,1647.00,85780,521,0箱
2017-08-08 00:11:23, 53度2.5L五星茅台酒 （乙未羊年）（按农历生肖属相推出）,1252,生肖纪念酒,39999.00,110818,76,0
2017-08-08 00:11:23, 茅台迎宾酒43度500ml(6瓶整箱),1215,茅台迎宾酒,564.00,31001,124,0箱
2017-08-08 00:11:23, 汉酱酒 51度500ml,650,汉酱酒,399.00,120891,2227,12瓶
2017-08-08 00:11:23, 贵州茅台酒 豪华装金色53度500ml,48,贵州茅台酒,1489.00,70063,1229,0瓶
2017-08-08 00:11:23, 茅台王子酒 酱门经典 茅台商城专享 53度500ml（整箱6瓶）,1196,茅台王子酒,1644.00,81142,89,0箱
2017-08-08 00:11:23, 中国酒业名酒收藏委员会成立大会纪念茅台酒 飞天53度500ml,922,贵州茅台酒,2999.00,109444,1681,0瓶
2017-08-08 00:11:23, 贵州茅台酒 53度50ml*5（金色条装）内含5瓶53度50ml贵州茅台酒,1340,贵州茅台酒,739.00,177547,2821,0
2017-08-08 00:11:23, 53度500ml五星茅台酒（乙未羊年）（按农历生肖属相推出）,1214,生肖纪念酒,5999.00,273230,1593,0
2017-08-08 00:11:23, 茅台酒 53度500ml茅台酒（第五届酒博会纪念）,1337,贵州茅台酒,1899.00,176698,552,0
2017-08-08 00:11:23, 王茅酒(百年传承)53度2.5L,1354,王茅酒,2399.00,92241,233,0
2017-08-08 00:11:23, 赖茅酒（重沙）53度500ml,1316,赖茅酒,299.00,40745,442,46
2017-08-08 00:11:23, 茅台酒 53度500ml茅台酒（第四届贵州酒博会纪念）,1079,贵州茅台酒,2199.00,65679,268,0瓶
2017-08-08 00:11:23, 茅台迎宾酒(龙呈)53度500ml,1124,茅台迎宾酒,139.00,69233,388,0瓶
2017-08-08 00:11:23, 茅台王子酒 酱门经典 53度500ml(茅台商城专享),1090,茅台王子酒,289.00,108738,574,0瓶
2017-08-08 00:11:23, 贵州茅台酒 浮雕木珍53度500ml,233,贵州茅台酒,2849.00,72934,1102,0瓶
2017-08-08 00:11:23, 仁酒 53度500ml,701,仁酒,299.00,94541,1877,6瓶
2017-08-08 00:11:23, 贵州茅台酒 豪华装绛色53度500ml,47,贵州茅台酒,1499.00,60266,1565,0瓶
2017-08-08 00:11:23, 茅台王子酒53度500ml,26,茅台王子酒,189.00,91836,1167,82瓶
2017-08-08 00:11:23, 茅台酒 飞天53度500ml(2000年),293,贵州茅台酒,7999.00,62868,1560,0瓶
2017-08-08 00:11:23, 茅台酒 飞天53度500ml(2002年),295,贵州茅台酒,6899.00,44639,1607,0瓶
2017-08-08 00:11:23, 茅台王子酒 46度500ml,32,茅台王子酒,169.00,40358,337,61瓶
2017-08-08 00:11:23, 贵州茅台酒 新飞天茅台酒43度500ml茅台官方商城正品直供,50,贵州茅台酒,859.00,108095,3044,0瓶
2017-08-08 00:11:23, 茅台酒 五星53度500ml(2000年),289,贵州茅台酒,7999.00,77136,1665,0瓶
2017-08-08 00:11:23, 茅台迎宾酒2013款53度500ml,754,茅台迎宾酒,119.00,136067,3416,35瓶
2017-08-08 00:11:23, 贵州茅台酒 飞天茅台酒53度50ml*2茅台官方商城正品直供,6,贵州茅台酒,358.00,154033,3491,0盒
2017-08-08 00:11:23, 茅台酒 茅台二套装,44,贵州茅台酒,2209.00,56895,915,仅供展示
2017-08-08 00:11:23, 茅台酒 五星53度500ml(2005年),363,贵州茅台酒,5889.00,72605,1604,0瓶
2017-08-08 00:11:23, 茅台酒 五星53度500ml(甲午马年)（按农历生肖属相推出）,1144,生肖纪念酒,5999.00,287019,2837,0瓶
2017-08-08 00:11:23, 百年金奖辉煌贵州茅台酒53度500ml,1111,贵州茅台酒,3509.00,265413,2502,仅供展示
2017-08-08 00:11:23, 茅台迎宾酒2013款53度500ml（6瓶整箱购买）,1067,茅台迎宾酒,678.00,110305,942,0箱
2017-08-08 00:11:23, 仁酒 53度125ml,789,仁酒,119.00,53769,1543,19瓶
2017-08-08 00:11:23, 茅台迎宾酒(花开富贵)53度500ml,1288,茅台迎宾酒,159.00,82578,304,5瓶
2017-08-08 00:11:23, 茅台迎宾酒嘉宾级53度500ml(6瓶整箱购买),1047,茅台迎宾酒,798.00,47671,648,0箱
2017-08-08 00:11:23, 贵州茅台酒 紫砂纸珍53度500ml,407,贵州茅台酒,2289.00,184726,2103,0瓶
2017-08-08 00:11:23, 仁酒 53度368ml,793,仁酒,279.00,30814,1552,22瓶
2017-08-08 00:11:23, 贵州大曲·80年代(茅台商城专享)53度500ml,1438,贵州大曲,299.00,116430,2976,77瓶
2017-08-08 00:11:23, 茅台王子酒 53度500ml 酱门经典,461,茅台王子酒,289.00,63073,4938,136瓶
2017-08-08 00:11:23, 茅台酒 飞天53度500ml(2001年),294,贵州茅台酒,7499.00,38757,1604,0瓶
2017-08-08 00:11:23, 赖茅酒（端曲）53度500ml,1564,赖茅酒,199.00,33611,671,68
2017-08-08 00:11:23, 贵州大曲2.5L坛装纪念版53度,1286,贵州大曲,1599.00,206723,4885,0
2017-08-08 00:11:23, 贵州茅台酒 飞天茅台酒53度200ml茅台官方商城正品直供,5,贵州茅台酒,589.00,123244,6372,0瓶
2017-08-08 00:11:23, 贵州茅台酒 茅台四套装,40,贵州茅台酒,3199.00,68618,1155,0盒
2017-08-08 00:11:23, 茅台迎宾酒 43度500ml,37,茅台迎宾酒,99.00,61796,1167,83瓶
2017-08-08 00:11:23, 茅台酒 五星53度500ml(2004年),298,贵州茅台酒,6199.00,65629,1560,0瓶
2017-08-08 00:11:23, 华茅酒(百年传承)53度2.5L,1355,华茅酒,2399.00,142419,247,0
2017-08-08 00:11:23, 茅台迎宾酒(凤祥)53度500ml,1125,茅台迎宾酒,139.00,71263,337,0瓶
2017-08-08 00:11:23, 贵州大曲丙申猴年坛装纪念53度2.5L,1575,贵州大曲,1599.00,114361,516,0
2017-08-08 00:11:23, 贵州茅台酒 大号木珍53度500ml,22,贵州茅台酒,1709.00,57422,1034,0瓶
2017-08-08 00:11:23, 贵州茅台酒 小号木珍53度500ml,11,贵州茅台酒,1539.00,75735,1262,0瓶
2017-08-08 00:11:23, 贵州茅台酒 新飞天茅台酒53度500ml茅台官方商城正品直供,23,贵州茅台酒,1299.00,2549637,138833,0瓶
2017-08-08 00:11:23, 贵州茅台酒15年53度500ml,25,贵州茅台酒,4799.00,198939,2830,0瓶
2017-08-08 00:11:23, 贵州茅台酒 30年 53度500ml,18,贵州茅台酒,11099.00,85007,1421,0瓶
2017-08-08 00:11:23, 丙申猴年茅台酒53度500ml贵州茅台酒(按农历生肖属相推出),1450,贵州茅台酒,2999.00,564437,5024,0瓶
2017-08-08 00:11:23, 贵州茅台酒 50年 53度500ml,17,贵州茅台酒,18999.00,93778,1437,0瓶
2017-08-08 00:11:23, 贵州茅台酒（2017丁酉鸡年）53度500ml【按农历生肖属相推出】,1618,生肖纪念酒,1599.00,4079797,40317,0瓶
2017-08-08 00:11:23, 华茅酒(百年印象)53度500ml,1260,华茅酒,299.00,57802,487,0
2017-08-08 00:11:23, 王茅酒(百年印象)53度500ml,1261,王茅酒,299.00,72798,460,0
2017-08-08 00:11:23, 贵州茅台酒 五星茅台酒53度500ml 茅台官方商城正品直供,3,贵州茅台酒,1289.00,361777,14397,0瓶
2017-08-08 00:11:23, 贵州茅台酒新飞天茅台53度500ml（6瓶整箱购买）茅台官方商城正品直供,1044,贵州茅台酒,7794.00,453173,14175,仅供展示
2017-08-08 00:11:23, 贵州茅台酒 纸珍53度375ml,9,贵州茅台酒,1389.00,55124,997,0瓶
2017-08-08 00:11:23, 茅台酒 甲午马年贵州茅台酒 五星53度2.5L（按农历生肖属相推出）,1251,生肖纪念酒,39999.00,117229,119,0
2017-08-08 00:11:23, 2014秋季糖酒会纪念 茅台酒 53度500ml,1084,贵州茅台酒,1899.00,71784,369,0瓶
2017-08-08 00:11:23, 贵州茅台酒 飞天茅台酒53度1000ml茅台官方商城正品直供,483,贵州茅台酒,2799.00,175606,3366,0瓶
